# NEPTS   102 NPROJ     4 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -7.3241E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -7.1638E-01  1.2864E-14  8.4569E-16  5.6719E-16  2.8554E-14
 -7.0036E-01  8.9722E-01  6.6593E-02  4.2527E-02  2.0127E+00
 -6.8434E-01  1.1714E+00  1.0176E-01  5.9183E-02  2.6646E+00
 -6.6831E-01  1.3148E+00  1.4686E-01  8.4069E-02  3.0916E+00
 -6.5229E-01  1.3991E+00  2.1653E-01  1.2317E-01  3.4775E+00
 -6.3627E-01  1.4509E+00  2.9907E-01  1.6518E-01  3.8302E+00
 -6.2024E-01  1.4762E+00  3.8176E-01  1.9925E-01  4.1144E+00
 -6.0422E-01  1.4740E+00  4.5849E-01  2.2055E-01  4.3062E+00
 -5.8820E-01  1.4939E+00  5.1380E-01  2.9504E-01  4.6055E+00
 -5.7217E-01  1.4983E+00  5.9931E-01  3.4126E-01  4.8777E+00
 -5.5615E-01  1.5176E+00  7.1380E-01  3.1235E-01  5.0876E+00
 -5.4012E-01  1.5061E+00  7.8547E-01  3.3665E-01  5.2565E+00
 -5.2410E-01  1.4565E+00  8.3431E-01  4.1205E-01  5.4056E+00
 -5.0808E-01  1.3917E+00  8.9306E-01  5.0095E-01  5.5714E+00
 -4.9205E-01  1.3341E+00  9.7808E-01  5.7154E-01  5.7675E+00
 -4.7603E-01  1.2941E+00  1.0864E+00  6.1128E-01  5.9835E+00
 -4.6001E-01  1.2694E+00  1.2041E+00  6.2558E-01  6.1980E+00
 -4.4398E-01  1.2501E+00  1.3160E+00  6.3043E-01  6.3932E+00
 -4.2796E-01  1.2243E+00  1.4139E+00  6.4409E-01  6.5645E+00
 -4.1194E-01  1.1822E+00  1.4983E+00  6.8053E-01  6.7220E+00
 -3.9591E-01  1.1196E+00  1.5777E+00  7.4583E-01  6.8864E+00
 -3.7989E-01  1.0383E+00  1.6643E+00  8.3742E-01  7.0800E+00
 -3.6387E-01  9.4516E-01  1.7684E+00  9.4574E-01  7.3187E+00
 -3.4784E-01  8.4994E-01  1.8953E+00  1.0573E+00  7.6051E+00
 -3.3182E-01  7.6295E-01  2.0422E+00  1.1585E+00  7.9273E+00
 -3.1580E-01  6.9242E-01  2.1993E+00  1.2386E+00  8.2607E+00
 -2.9977E-01  6.4265E-01  2.3521E+00  1.2925E+00  8.5744E+00
 -2.8375E-01  6.1300E-01  2.4846E+00  1.3211E+00  8.8374E+00
 -2.6772E-01  5.9781E-01  2.5830E+00  1.3304E+00  9.0224E+00
 -2.5170E-01  5.8740E-01  2.6360E+00  1.3287E+00  9.1043E+00
 -2.3568E-01  5.6996E-01  2.6341E+00  1.3223E+00  9.0526E+00
 -2.1965E-01  5.3420E-01  2.5654E+00  1.3105E+00  8.8203E+00
 -2.0363E-01  4.7265E-01  2.4146E+00  1.2829E+00  8.3404E+00
 -1.8761E-01  3.8555E-01  2.1687E+00  1.2199E+00  7.5483E+00
 -1.7158E-01  2.8526E-01  1.8435E+00  1.1023E+00  6.4622E+00
 -1.5556E-01  2.0128E-01  1.5482E+00  9.3705E-01  5.3731E+00
 -1.3954E-01  1.8607E-01  1.6142E+00  8.0761E-01  5.2158E+00
 -1.2351E-01  1.7630E-01  1.6898E+00  7.3115E-01  5.1944E+00
 -1.0749E-01  1.1460E-01  1.5407E+00  5.9021E-01  4.4909E+00
 -9.1466E-02  4.9440E-02  1.3549E+00  4.6740E-01  3.7435E+00
 -7.5442E-02  6.4977E-02  1.0994E+00  4.1090E-01  3.1505E+00
 -5.9419E-02  1.1194E-01  7.9948E-01  4.1013E-01  2.6431E+00
 -4.3395E-02  1.3050E-01  4.7596E-01  4.1192E-01  2.0368E+00
 -2.7372E-02  9.7701E-02  2.0438E-01  3.5339E-01  1.3109E+00
 -1.1348E-02  2.8604E-02  8.6895E-02  1.8747E-01  6.0593E-01
  4.6754E-03 -3.7411E-02  2.0021E-01 -6.5382E-02  1.9484E-01
