# NEPTS   102 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -6.8757E-01  0.0000E+00  0.0000E+00  0.0000E+00
 -6.7396E-01 -7.5587E-14 -5.7212E-15 -8.1308E-14
 -6.6035E-01  2.3396E+00 -1.4261E-01  2.1970E+00
 -6.4674E-01  5.6076E+00  3.1722E-01  5.9248E+00
 -6.3313E-01  5.2084E+00  1.8959E-01  5.3980E+00
 -6.1952E-01  6.0522E+00  3.3292E-01  6.3851E+00
 -6.0592E-01  8.5599E+00  8.5101E-01  9.4109E+00
 -5.9231E-01  8.3998E+00  8.8527E-01  9.2851E+00
 -5.7870E-01  7.8531E+00  7.0218E-01  8.5553E+00
 -5.6509E-01  1.1023E+01  1.0176E+00  1.2041E+01
 -5.5148E-01  1.5214E+01  1.5114E+00  1.6725E+01
 -5.3787E-01  1.4707E+01  1.3663E+00  1.6073E+01
 -5.2426E-01  1.0640E+01  8.5990E-01  1.1500E+01
 -5.1065E-01  9.8237E+00  1.1148E+00  1.0938E+01
 -4.9705E-01  1.2131E+01  1.9208E+00  1.4052E+01
 -4.8344E-01  8.6038E+00  1.4798E+00  1.0084E+01
 -4.6983E-01  6.8145E-01  2.0127E-02  7.0158E-01
 -4.5622E-01  1.3852E+00  4.1034E-01  1.7955E+00
 -4.4261E-01  2.3577E+00  9.7199E-01  3.3297E+00
 -4.2900E-01  2.3104E-01 -6.3805E-01 -4.0701E-01
 -4.1539E-01  5.5328E+00  2.4941E+00  8.0269E+00
 -4.0178E-01  1.0687E+01  6.4609E+00  1.7148E+01
 -3.8817E-01  1.2027E+01  8.1238E+00  2.0151E+01
 -3.7457E-01  1.0012E+01  7.2548E+00  1.7267E+01
 -3.6096E-01  6.8172E+00  5.2455E+00  1.2063E+01
 -3.4735E-01  4.3028E+00  3.5303E+00  7.8331E+00
 -3.3374E-01  3.1763E+00  2.7730E+00  5.9493E+00
 -3.2013E-01  3.1261E+00  2.8349E+00  5.9610E+00
 -3.0652E-01  3.3995E+00  3.1673E+00  6.5668E+00
 -2.9291E-01  3.3655E+00  3.2583E+00  6.6239E+00
 -2.7930E-01  2.8102E+00  2.9039E+00  5.7140E+00
 -2.6570E-01  1.9266E+00  2.2368E+00  4.1633E+00
 -2.5209E-01  1.1012E+00  1.5757E+00  2.6768E+00
 -2.3848E-01  1.2956E+00  1.9243E+01  2.0538E+01
 -2.2487E-01  8.4920E-01  8.7690E+00  9.6182E+00
 -2.1126E-01  1.7893E+00  2.1367E+01  2.3157E+01
 -1.9765E-01  2.3993E+00  2.3378E+01  2.5778E+01
 -1.8404E-01  1.7683E+00  2.2567E+01  2.4335E+01
 -1.7043E-01  8.2980E-01  2.2025E+01  2.2855E+01
 -1.5683E-01  5.4058E-01  2.2033E+01  2.2574E+01
 -1.4322E-01  6.8555E-01  2.5940E+01  2.6626E+01
 -1.2961E-01  5.9847E-01  2.6842E+01  2.7440E+01
 -1.1600E-01  3.1728E-01  2.0683E+01  2.1000E+01
 -1.0239E-01  3.8146E-01  1.6213E+01  1.6595E+01
 -8.8781E-02  7.3648E-01  1.9664E+01  2.0400E+01
 -7.5172E-02  6.1300E-01  2.0870E+01  2.1483E+01
 -6.1564E-02 -1.3216E-01  1.0131E+01  9.9990E+00
 -4.7955E-02 -3.4420E-01  9.7742E-01  6.3322E-01
 -3.4346E-02  4.0421E-01  6.8101E+00  7.2143E+00
 -2.0737E-02  1.4085E-01  4.4749E+00  4.6157E+00
 -7.1284E-03 -2.9592E-01  3.3330E+00  3.0370E+00
  6.4804E-03  0.0000E+00  0.0000E+00  0.0000E+00
  2.0089E-02  0.0000E+00  0.0000E+00  0.0000E+00
  3.3698E-02  0.0000E+00  0.0000E+00  0.0000E+00
  4.7307E-02  0.0000E+00  0.0000E+00  0.0000E+00
  6.0916E-02  0.0000E+00  0.0000E+00  0.0000E+00
  7.4524E-02  0.0000E+00  0.0000E+00  0.0000E+00
