# NKPT   121 NBND    26 NSPIN     1
# NPANEL     6
#      1   (0,0,0)/2
#     24   (1,1,0)/2
#     41   (0,1,0)/2
#     61   (0,1,1)/2
#     78   (1,1,1)/2
#    101   (0,0,1)/2
#    121   (0,0,0)/2
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.42247
@ XAXIS TICKLABEL    1,"(1,1,0)/2"
@ XAXIS TICK     2,     0.72121
@ XAXIS TICKLABEL    2,"(0,1,0)/2"
@ XAXIS TICK     3,     1.07613
@ XAXIS TICKLABEL    3,"(0,1,1)/2"
@ XAXIS TICK     4,     1.37487
@ XAXIS TICKLABEL    4,"(1,1,1)/2"
@ XAXIS TICK     5,     1.79734
@ XAXIS TICKLABEL    5,"(0,0,1)/2"
@ XAXIS TICK     6,     2.15227
@ XAXIS TICKLABEL    6,"(0,0,0)/2"
@ WORLD      0.00000,        -1.1,     2.15227,         0.7
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.00000E+00 -0.10116E+01 -0.10040E+01 -0.84027E+00 -0.83833E+00 -0.78442E+00 -0.78442E+00 -0.46388E+00 -0.43127E+00 -0.38632E+00 -0.34242E+00 -0.33608E+00 -0.33608E+00 -0.27185E+00 -0.27185E+00 -0.19808E+00 -0.19808E+00 -0.19025E+00 -0.16971E+00 -0.80964E-01 -0.80964E-01 -0.31514E-01 -0.28259E-01 -0.28259E-01  0.00000E+00  0.59186E+00  0.62665E+00
  0.18368E-01 -0.10115E+01 -0.10041E+01 -0.84027E+00 -0.83833E+00 -0.78443E+00 -0.78442E+00 -0.46382E+00 -0.43138E+00 -0.38627E+00 -0.34270E+00 -0.33608E+00 -0.33599E+00 -0.27185E+00 -0.27143E+00 -0.19839E+00 -0.19811E+00 -0.19009E+00 -0.16974E+00 -0.80993E-01 -0.80962E-01 -0.31515E-01 -0.28301E-01 -0.28173E-01 -0.48807E-04  0.59213E+00  0.62660E+00
  0.36737E-01 -0.10115E+01 -0.10041E+01 -0.84025E+00 -0.83834E+00 -0.78444E+00 -0.78441E+00 -0.46367E+00 -0.43171E+00 -0.38611E+00 -0.34350E+00 -0.33609E+00 -0.33577E+00 -0.27184E+00 -0.27021E+00 -0.19926E+00 -0.19819E+00 -0.18966E+00 -0.16985E+00 -0.81076E-01 -0.80956E-01 -0.31517E-01 -0.28424E-01 -0.27920E-01 -0.19447E-03  0.59291E+00  0.62647E+00
  0.55105E-01 -0.10114E+01 -0.10042E+01 -0.84023E+00 -0.83836E+00 -0.78445E+00 -0.78438E+00 -0.46341E+00 -0.43225E+00 -0.38583E+00 -0.34465E+00 -0.33611E+00 -0.33550E+00 -0.27182E+00 -0.26826E+00 -0.20056E+00 -0.19833E+00 -0.18908E+00 -0.17004E+00 -0.81207E-01 -0.80945E-01 -0.31515E-01 -0.28620E-01 -0.27510E-01 -0.43471E-03  0.59421E+00  0.62627E+00
  0.73474E-01 -0.10113E+01 -0.10043E+01 -0.84019E+00 -0.83839E+00 -0.78447E+00 -0.78436E+00 -0.46305E+00 -0.43299E+00 -0.38545E+00 -0.34603E+00 -0.33613E+00 -0.33524E+00 -0.27179E+00 -0.26572E+00 -0.20219E+00 -0.19851E+00 -0.18843E+00 -0.17030E+00 -0.81372E-01 -0.80926E-01 -0.31502E-01 -0.28875E-01 -0.26955E-01 -0.76581E-03  0.59599E+00  0.62603E+00
  0.91842E-01 -0.10111E+01 -0.10045E+01 -0.84015E+00 -0.83842E+00 -0.78449E+00 -0.78433E+00 -0.46259E+00 -0.43391E+00 -0.38494E+00 -0.34752E+00 -0.33616E+00 -0.33501E+00 -0.27176E+00 -0.26273E+00 -0.20410E+00 -0.19874E+00 -0.18776E+00 -0.17062E+00 -0.81556E-01 -0.80896E-01 -0.31475E-01 -0.29172E-01 -0.26271E-01 -0.11826E-02  0.59823E+00  0.62580E+00
  0.11021E+00 -0.10110E+01 -0.10046E+01 -0.84009E+00 -0.83846E+00 -0.78452E+00 -0.78430E+00 -0.46205E+00 -0.43499E+00 -0.38429E+00 -0.34904E+00 -0.33620E+00 -0.33482E+00 -0.27172E+00 -0.25947E+00 -0.20621E+00 -0.19902E+00 -0.18711E+00 -0.17101E+00 -0.81742E-01 -0.80854E-01 -0.31433E-01 -0.29492E-01 -0.25471E-01 -0.16786E-02  0.60086E+00  0.62563E+00
  0.12858E+00 -0.10108E+01 -0.10048E+01 -0.84003E+00 -0.83850E+00 -0.78455E+00 -0.78428E+00 -0.46144E+00 -0.43619E+00 -0.38351E+00 -0.35051E+00 -0.33624E+00 -0.33467E+00 -0.27168E+00 -0.25610E+00 -0.20848E+00 -0.19933E+00 -0.18646E+00 -0.17146E+00 -0.81909E-01 -0.80797E-01 -0.31373E-01 -0.29815E-01 -0.24573E-01 -0.22462E-02  0.60383E+00  0.62559E+00
  0.14695E+00 -0.10106E+01 -0.10051E+01 -0.83995E+00 -0.83854E+00 -0.78459E+00 -0.78427E+00 -0.46075E+00 -0.43751E+00 -0.38257E+00 -0.35189E+00 -0.33628E+00 -0.33457E+00 -0.27163E+00 -0.25282E+00 -0.21079E+00 -0.19967E+00 -0.18584E+00 -0.17196E+00 -0.82039E-01 -0.80723E-01 -0.31297E-01 -0.30119E-01 -0.23592E-01 -0.28766E-02  0.60703E+00  0.62574E+00
  0.16532E+00 -0.10103E+01 -0.10053E+01 -0.83988E+00 -0.83858E+00 -0.78463E+00 -0.78426E+00 -0.46001E+00 -0.43889E+00 -0.38148E+00 -0.35316E+00 -0.33633E+00 -0.33452E+00 -0.27158E+00 -0.24987E+00 -0.21301E+00 -0.20004E+00 -0.18523E+00 -0.17252E+00 -0.82117E-01 -0.80630E-01 -0.31204E-01 -0.30386E-01 -0.22547E-01 -0.35598E-02  0.61035E+00  0.62620E+00
